[2023-03-26 22:41:45,462]: ---mrmd 3.0 start----
[2023-03-26 22:41:49,243]: ANOVA start...
[2023-03-26 22:41:49,287]: ANOVA  end.
[2023-03-26 22:41:49,287]: chi2 start...
[2023-03-26 22:41:49,333]: chi2 end.
[2023-03-26 22:41:49,333]: MI start...
[2023-03-26 22:41:53,695]: MI end.
[2023-03-26 22:41:53,696]: mrmd start...
[2023-03-26 22:41:55,637]: mrmd end.
[2023-03-26 22:41:55,637]: mrmr start...
[2023-03-26 22:42:05,394]: mrmr importance end.
[2023-03-26 22:42:05,395]: linear model start...
[2023-03-26 22:42:11,026]: linear model end.
[2023-03-26 22:42:11,026]: ref start...
[2023-03-26 22:45:00,391]: ref end.
[2023-03-26 22:45:00,393]: tree feature importance start...
[2023-03-26 22:45:26,912]: tree feature importance  end.
[2023-03-26 22:45:27,289]: The final  rank is
[2023-03-26 22:45:27,289]: 111 : 0.004339411053730876
[2023-03-26 22:45:27,289]: 232 : 0.004307038409437878
[2023-03-26 22:45:27,289]: 8 : 0.004245983819393701
[2023-03-26 22:45:27,289]: 276 : 0.0042402744233949125
[2023-03-26 22:45:27,289]: 176 : 0.004238042646709297
[2023-03-26 22:45:27,289]: 2 : 0.004219913661666607
[2023-03-26 22:45:27,289]: 257 : 0.004219903008196671
[2023-03-26 22:45:27,289]: 13 : 0.00421456927507436
[2023-03-26 22:45:27,289]: 77 : 0.004196159378169593
[2023-03-26 22:45:27,290]: 16 : 0.004191516262654978
[2023-03-26 22:45:27,290]: 208 : 0.004190454370796576
[2023-03-26 22:45:27,290]: 11 : 0.004185037192326334
[2023-03-26 22:45:27,290]: 149 : 0.004179980932293751
[2023-03-26 22:45:27,290]: 188 : 0.004175528840999583
[2023-03-26 22:45:27,290]: 228 : 0.004174757407008613
[2023-03-26 22:45:27,290]: 100 : 0.004174572243119584
[2023-03-26 22:45:27,290]: 195 : 0.004160936521367324
[2023-03-26 22:45:27,290]: 227 : 0.004147224651007719
[2023-03-26 22:45:27,290]: 246 : 0.004143736686347884
[2023-03-26 22:45:27,290]: 80 : 0.004141159057367795
[2023-03-26 22:45:27,290]: 198 : 0.004138960720305041
[2023-03-26 22:45:27,290]: 245 : 0.004106813373534326
[2023-03-26 22:45:27,290]: 201 : 0.004105343183742624
[2023-03-26 22:45:27,290]: 267 : 0.004103682903932394
[2023-03-26 22:45:27,290]: 202 : 0.0041012183519008325
[2023-03-26 22:45:27,290]: 175 : 0.004095851044751442
[2023-03-26 22:45:27,290]: 211 : 0.004085098329079829
[2023-03-26 22:45:27,290]: 255 : 0.004079590159716065
