length,accuracy,f1,precision,recall,roc
1,0.5753,0.5750,0.5749,0.5753,0.5741
2,0.6301,0.6303,0.6307,0.6301,0.6301
3,0.7534,0.7534,0.7534,0.7534,0.7530
4,0.7808,0.7808,0.7808,0.7808,0.7805
5,0.7671,0.7654,0.7709,0.7671,0.7639
6,0.7534,0.7530,0.7536,0.7534,0.7519
7,0.8082,0.8079,0.8087,0.8082,0.8068
8,0.7808,0.7809,0.7822,0.7808,0.7816
9,0.7945,0.7944,0.7945,0.7945,0.7936
10,0.7534,0.7521,0.7554,0.7534,0.7508
11,0.7808,0.7804,0.7812,0.7808,0.7793
12,0.8356,0.8353,0.8363,0.8356,0.8342
13,0.8356,0.8339,0.8439,0.8356,0.8320
14,0.8082,0.8072,0.8111,0.8082,0.8056
15,0.8356,0.8353,0.8363,0.8356,0.8342
16,0.7945,0.7938,0.7958,0.7945,0.7925
17,0.8082,0.8079,0.8087,0.8082,0.8068
18,0.8219,0.8213,0.8235,0.8219,0.8199
19,0.8219,0.8206,0.8271,0.8219,0.8188
20,0.8219,0.8213,0.8235,0.8219,0.8199
