class,K,T,R,Q,I,A,E,V,Y,G
1.0,0.05,0.1,0.05,0.05,0.06,0.06,0.03,0.05,0.02,0.02
1.0,0.05,0.04,0.06,0.06,0.06,0.07,0.05,0.01,0.04,0.03
1.0,0.0,0.06,0.09,0.02,0.05,0.09,0.06,0.1,0.01,0.09
1.0,0.02,0.02,0.08,0.12,0.03,0.18,0.06,0.05,0.0,0.07
1.0,0.0,0.1,0.07,0.04,0.03,0.09,0.0,0.07,0.0,0.1
1.0,0.07,0.05,0.07,0.03,0.08,0.02,0.05,0.09,0.02,0.07
1.0,0.04,0.04,0.03,0.06,0.09,0.1,0.11,0.02,0.04,0.02
1.0,0.02,0.02,0.04,0.09,0.08,0.13,0.1,0.03,0.01,0.04
1.0,0.12,0.05,0.06,0.03,0.12,0.01,0.05,0.07,0.02,0.06
1.0,0.08,0.07,0.07,0.03,0.06,0.03,0.04,0.07,0.02,0.07
1.0,0.03,0.05,0.1,0.02,0.08,0.02,0.08,0.03,0.01,0.02
1.0,0.05,0.05,0.03,0.03,0.05,0.04,0.08,0.04,0.01,0.02
1.0,0.03,0.05,0.07,0.11,0.05,0.1,0.06,0.06,0.0,0.07
1.0,0.0,0.07,0.14,0.05,0.02,0.1,0.11,0.04,0.0,0.05
1.0,0.06,0.01,0.04,0.07,0.07,0.04,0.03,0.08,0.06,0.04
1.0,0.08,0.05,0.04,0.05,0.09,0.1,0.03,0.02,0.01,0.01
1.0,0.01,0.03,0.01,0.06,0.04,0.04,0.01,0.0,0.0,0.32
1.0,0.04,0.08,0.12,0.09,0.01,0.09,0.03,0.04,0.0,0.07
1.0,0.07,0.06,0.0,0.06,0.05,0.13,0.03,0.04,0.0,0.05
1.0,0.01,0.07,0.05,0.06,0.04,0.17,0.03,0.06,0.0,0.1
1.0,0.02,0.1,0.05,0.04,0.02,0.08,0.06,0.03,0.02,0.06
2.0,0.02,0.09,0.05,0.08,0.03,0.13,0.07,0.02,0.0,0.07
