length,accuracy,f1,precision,recall,roc
1,0.4521,0.4422,0.4432,0.4521,0.5539
2,0.4521,0.4471,0.4441,0.4521,0.5643
3,0.4110,0.3985,0.3928,0.4110,0.5257
4,0.4384,0.4336,0.4318,0.4384,0.5500
5,0.4110,0.4045,0.4025,0.4110,0.5267
6,0.4521,0.4427,0.4460,0.4521,0.5574
7,0.4110,0.3932,0.3898,0.4110,0.5129
8,0.4521,0.4300,0.4280,0.4521,0.5407
9,0.4795,0.4807,0.4862,0.4795,0.5835
10,0.5616,0.5529,0.5530,0.5616,0.6395
11,0.4795,0.4698,0.4659,0.4795,0.5736
12,0.4658,0.4609,0.4580,0.4658,0.5738
13,0.5342,0.5245,0.5211,0.5342,0.6207
14,0.5068,0.4957,0.4897,0.5068,0.5988
15,0.4658,0.4518,0.4580,0.4658,0.5559
16,0.4932,0.4721,0.4640,0.4932,0.5798
17,0.4795,0.4724,0.4764,0.4795,0.5746
18,0.4932,0.4777,0.4801,0.4932,0.5773
19,0.5205,0.4931,0.4980,0.5205,0.5898
20,0.4932,0.4787,0.4853,0.4932,0.5761
