length,accuracy,f1,precision,recall,roc
1,0.5795,0.5768,0.5816,0.5795,0.5795
2,0.6150,0.6143,0.6159,0.6150,0.6150
3,0.6331,0.6331,0.6331,0.6331,0.6331
4,0.6642,0.6640,0.6644,0.6642,0.6642
5,0.6546,0.6545,0.6548,0.6546,0.6546
6,0.6724,0.6723,0.6724,0.6724,0.6724
7,0.6662,0.6662,0.6662,0.6662,0.6662
8,0.6833,0.6832,0.6835,0.6833,0.6833
9,0.7099,0.7097,0.7104,0.7099,0.7099
10,0.7102,0.7101,0.7106,0.7102,0.7102
11,0.7154,0.7152,0.7160,0.7154,0.7154
12,0.7215,0.7213,0.7221,0.7215,0.7215
13,0.7215,0.7213,0.7222,0.7215,0.7215
14,0.7515,0.7515,0.7518,0.7515,0.7515
15,0.7652,0.7652,0.7653,0.7652,0.7652
16,0.8044,0.8042,0.8059,0.8044,0.8044
17,0.8041,0.8039,0.8056,0.8041,0.8041
18,0.8164,0.8161,0.8184,0.8164,0.8164
19,0.8106,0.8103,0.8126,0.8106,0.8106
20,0.8126,0.8124,0.8139,0.8126,0.8126
21,0.8160,0.8158,0.8174,0.8160,0.8160
22,0.8048,0.8046,0.8058,0.8048,0.8048
23,0.8218,0.8216,0.8234,0.8218,0.8218
24,0.8225,0.8223,0.8242,0.8225,0.8225
25,0.8201,0.8199,0.8221,0.8201,0.8201
26,0.8174,0.8170,0.8204,0.8174,0.8174
27,0.8218,0.8214,0.8248,0.8218,0.8218
28,0.8218,0.8215,0.8244,0.8218,0.8218
29,0.8130,0.8126,0.8157,0.8130,0.8130
30,0.8126,0.8122,0.8157,0.8126,0.8126
31,0.8164,0.8159,0.8194,0.8164,0.8164
32,0.8143,0.8139,0.8176,0.8143,0.8143
33,0.8154,0.8148,0.8189,0.8154,0.8154
34,0.8130,0.8126,0.8158,0.8130,0.8130
35,0.8150,0.8144,0.8189,0.8150,0.8150
36,0.8109,0.8103,0.8149,0.8109,0.8109
37,0.8164,0.8159,0.8199,0.8164,0.8164
38,0.8177,0.8172,0.8218,0.8177,0.8177
39,0.8157,0.8152,0.8191,0.8157,0.8157
40,0.8154,0.8149,0.8187,0.8154,0.8154
41,0.8201,0.8198,0.8226,0.8201,0.8201
42,0.8218,0.8213,0.8255,0.8218,0.8218
43,0.8191,0.8187,0.8221,0.8191,0.8191
44,0.8208,0.8204,0.8241,0.8208,0.8208
45,0.8225,0.8221,0.8257,0.8225,0.8225
46,0.8225,0.8221,0.8259,0.8225,0.8225
47,0.8140,0.8134,0.8179,0.8140,0.8140
48,0.8212,0.8207,0.8242,0.8212,0.8212
49,0.8215,0.8211,0.8247,0.8215,0.8215
50,0.8208,0.8203,0.8246,0.8208,0.8208
51,0.8235,0.8230,0.8275,0.8235,0.8235
