length,accuracy,f1,precision,recall,roc
1,0.6055,0.6049,0.6060,0.6055,0.6055
2,0.6167,0.6156,0.6181,0.6167,0.6167
3,0.7287,0.7287,0.7287,0.7287,0.7287
4,0.7512,0.7509,0.7524,0.7512,0.7512
5,0.7560,0.7557,0.7572,0.7560,0.7560
6,0.7775,0.7772,0.7789,0.7775,0.7775
7,0.7857,0.7856,0.7863,0.7857,0.7857
8,0.7962,0.7962,0.7964,0.7962,0.7962
9,0.7997,0.7995,0.8005,0.7997,0.7997
10,0.7973,0.7970,0.7987,0.7973,0.7973
11,0.7942,0.7939,0.7960,0.7942,0.7942
12,0.7983,0.7979,0.8008,0.7983,0.7983
13,0.8020,0.8016,0.8047,0.8020,0.8020
14,0.7969,0.7966,0.7991,0.7969,0.7969
15,0.8024,0.8020,0.8049,0.8024,0.8024
16,0.8000,0.7996,0.8027,0.8000,0.8000
17,0.8092,0.8089,0.8112,0.8092,0.8092
18,0.8137,0.8134,0.8156,0.8137,0.8137
19,0.8109,0.8105,0.8136,0.8109,0.8109
20,0.8164,0.8159,0.8195,0.8164,0.8164
21,0.8089,0.8086,0.8108,0.8089,0.8089
22,0.8191,0.8187,0.8219,0.8191,0.8191
23,0.8116,0.8112,0.8142,0.8116,0.8116
24,0.8174,0.8170,0.8201,0.8174,0.8174
25,0.8147,0.8143,0.8174,0.8147,0.8147
26,0.8195,0.8190,0.8227,0.8195,0.8195
27,0.8137,0.8132,0.8164,0.8137,0.8137
28,0.8201,0.8198,0.8227,0.8201,0.8201
29,0.8154,0.8149,0.8187,0.8154,0.8154
30,0.8201,0.8198,0.8225,0.8201,0.8201
31,0.8198,0.8193,0.8230,0.8198,0.8198
32,0.8198,0.8193,0.8232,0.8198,0.8198
33,0.8195,0.8190,0.8228,0.8195,0.8195
34,0.8184,0.8180,0.8215,0.8184,0.8184
35,0.8253,0.8248,0.8283,0.8253,0.8253
36,0.8123,0.8117,0.8162,0.8123,0.8123
37,0.8164,0.8159,0.8196,0.8164,0.8164
38,0.8215,0.8211,0.8244,0.8215,0.8215
39,0.8171,0.8166,0.8206,0.8171,0.8171
40,0.8164,0.8159,0.8196,0.8164,0.8164
41,0.8242,0.8238,0.8278,0.8242,0.8242
42,0.8184,0.8180,0.8216,0.8184,0.8184
43,0.8232,0.8227,0.8271,0.8232,0.8232
44,0.8198,0.8193,0.8235,0.8198,0.8198
45,0.8205,0.8200,0.8242,0.8205,0.8205
46,0.8198,0.8192,0.8239,0.8198,0.8198
47,0.8256,0.8251,0.8291,0.8256,0.8256
48,0.8171,0.8165,0.8210,0.8171,0.8171
49,0.8205,0.8199,0.8250,0.8205,0.8205
50,0.8249,0.8244,0.8289,0.8249,0.8249
51,0.8229,0.8223,0.8267,0.8229,0.8229
