length,accuracy,f1,precision,recall,roc
1,0.5881,0.5875,0.5885,0.5881,0.5881
2,0.6642,0.6627,0.6672,0.6642,0.6642
3,0.6509,0.6508,0.6510,0.6509,0.6509
4,0.6444,0.6443,0.6445,0.6444,0.6444
5,0.6751,0.6751,0.6751,0.6751,0.6751
6,0.6833,0.6833,0.6833,0.6833,0.6833
7,0.7048,0.7048,0.7048,0.7048,0.7048
8,0.6976,0.6976,0.6976,0.6976,0.6976
9,0.6945,0.6945,0.6946,0.6945,0.6945
10,0.7041,0.7040,0.7043,0.7041,0.7041
11,0.7065,0.7064,0.7066,0.7065,0.7065
12,0.7911,0.7910,0.7918,0.7911,0.7911
13,0.8051,0.8049,0.8062,0.8051,0.8051
14,0.8106,0.8104,0.8117,0.8106,0.8106
15,0.8034,0.8033,0.8043,0.8034,0.8034
16,0.8085,0.8083,0.8098,0.8085,0.8085
17,0.8113,0.8111,0.8124,0.8113,0.8113
18,0.8068,0.8067,0.8077,0.8068,0.8068
19,0.8116,0.8115,0.8126,0.8116,0.8116
20,0.8072,0.8070,0.8080,0.8072,0.8072
21,0.8020,0.8019,0.8030,0.8020,0.8020
22,0.8096,0.8094,0.8103,0.8096,0.8096
23,0.8130,0.8126,0.8152,0.8130,0.8130
24,0.8102,0.8100,0.8120,0.8102,0.8102
25,0.8096,0.8092,0.8119,0.8096,0.8096
26,0.8140,0.8137,0.8159,0.8140,0.8140
27,0.8085,0.8082,0.8109,0.8085,0.8085
28,0.8137,0.8133,0.8160,0.8137,0.8137
29,0.8177,0.8174,0.8205,0.8177,0.8177
30,0.8205,0.8201,0.8231,0.8205,0.8205
31,0.8150,0.8145,0.8184,0.8150,0.8150
32,0.8201,0.8196,0.8242,0.8201,0.8201
33,0.8188,0.8183,0.8222,0.8188,0.8188
34,0.8212,0.8207,0.8243,0.8212,0.8212
35,0.8225,0.8221,0.8258,0.8225,0.8225
36,0.8225,0.8220,0.8264,0.8225,0.8225
37,0.8184,0.8179,0.8219,0.8184,0.8184
38,0.8208,0.8204,0.8238,0.8208,0.8208
39,0.8201,0.8197,0.8236,0.8201,0.8201
40,0.8195,0.8189,0.8231,0.8195,0.8195
41,0.8171,0.8165,0.8210,0.8171,0.8171
42,0.8229,0.8224,0.8263,0.8229,0.8229
43,0.8184,0.8180,0.8218,0.8184,0.8184
44,0.8171,0.8166,0.8201,0.8171,0.8171
45,0.8253,0.8248,0.8287,0.8253,0.8253
46,0.8253,0.8248,0.8287,0.8253,0.8253
47,0.8287,0.8282,0.8324,0.8287,0.8287
48,0.8198,0.8193,0.8234,0.8198,0.8198
49,0.8205,0.8200,0.8239,0.8205,0.8205
50,0.8184,0.8179,0.8224,0.8184,0.8184
51,0.8229,0.8223,0.8267,0.8229,0.8229
