iter	Passed	Remaining
0	49	49818
1	51	25873
2	53	17711
3	54	13507
4	55	11104
5	56	9402
6	58	8334
7	60	7529
8	62	6839
9	64	6346
10	65	5899
11	67	5516
12	67	5148
13	69	4865
14	70	4638
15	72	4449
16	74	4284
17	76	4149
18	77	3984
19	78	3869
20	80	3754
21	81	3643
22	83	3565
23	85	3494
24	87	3395
25	88	3327
26	90	3271
27	92	3205
28	93	3119
29	94	3066
30	95	3000
31	97	2963
32	99	2912
33	101	2882
34	102	2836
35	104	2808
36	106	2781
37	108	2755
38	110	2732
39	112	2708
40	115	2690
41	116	2652
42	118	2626
43	119	2592
44	120	2563
45	122	2542
46	123	2505
47	125	2486
48	126	2452
49	127	2428
50	128	2397
51	130	2374
52	131	2349
53	132	2320
54	133	2298
55	135	2283
56	137	2270
57	138	2253
58	140	2232
59	141	2212
60	142	2200
61	144	2184
62	145	2169
63	146	2148
64	148	2134
65	150	2127
66	152	2117
67	153	2099
68	155	2093
69	156	2075
70	158	2070
71	160	2066
72	162	2065
73	166	2088
74	167	2069
75	168	2053
76	170	2048
77	172	2043
78	174	2034
79	176	2030
80	177	2012
81	178	2001
82	180	1995
83	182	1990
84	184	1987
85	186	1982
86	188	1973
87	190	1969
88	191	1962
89	193	1952
90	194	1943
91	196	1936
92	197	1925
93	199	1920
94	200	1907
95	200	1892
96	202	1883
97	204	1877
98	205	1870
99	206	1860
100	208	1859
101	210	1856
102	211	1843
103	213	1837
104	215	1834
105	217	1832
106	219	1829
107	221	1826
108	222	1816
109	223	1809
110	225	1803
111	226	1798
112	228	1796
113	230	1791
114	232	1789
115	233	1778
116	235	1776
117	237	1774
118	239	1770
119	240	1764
120	241	1757
121	243	1749
122	244	1741
123	246	1739
124	247	1730
125	249	1728
126	250	1722
127	251	1714
128	252	1706
129	254	1702
130	256	1701
131	258	1697
132	259	1691
133	260	1684
134	261	1676
135	263	1673
136	265	1669
137	266	1665
138	267	1657
139	268	1651
140	270	1645
141	271	1639
142	273	1637
143	274	1633
144	275	1627
145	277	1622
146	279	1619
147	280	1617
148	281	1609
149	283	1606
150	284	1601
151	289	1617
152	290	1610
153	291	1600
154	292	1594
155	293	1586
156	293	1578
157	294	1571
158	295	1562
159	296	1554
160	296	1545
161	297	1536
162	297	1527
163	297	1518
164	298	1511
165	299	1507
166	301	1502
167	302	1495
168	303	1492
169	304	1485
170	304	1477
171	305	1468
172	305	1461
173	306	1453
174	308	1452
175	309	1450
176	310	1445
177	312	1442
178	313	1436
179	314	1432
180	315	1428
181	316	1420
182	317	1416
183	318	1411
184	319	1407
185	320	1402
186	321	1397
187	322	1392
188	323	1386
189	324	1382
190	324	1376
191	326	1373
192	327	1367
193	327	1362
194	329	1359
195	329	1353
196	331	1351
197	332	1345
198	332	1339
199	334	1336
200	335	1334
201	337	1333
202	338	1328
203	339	1325
204	340	1322
205	341	1317
206	342	1313
207	344	1310
208	345	1307
209	346	1302
210	347	1297
211	348	1294
212	349	1292
213	350	1288
214	352	1285
215	353	1282
216	354	1279
217	355	1274
218	356	1271
219	358	1269
220	358	1265
221	359	1259
222	361	1258
223	362	1255
224	364	1254
225	364	1248
226	365	1245
227	367	1244
228	368	1239
229	369	1236
230	369	1231
231	371	1229
232	372	1225
233	374	1224
234	375	1222
235	376	1219
236	377	1216
237	379	1213
238	380	1212
239	381	1206
240	382	1204
241	384	1203
242	384	1198
243	385	1195
244	386	1191
245	387	1188
246	388	1185
247	389	1180
248	390	1177
249	395	1186
250	396	1183
251	398	1182
252	399	1179
253	401	1177
254	402	1176
255	404	1174
256	404	1170
257	405	1167
258	406	1162
259	407	1159
260	408	1156
261	409	1154
262	411	1151
263	411	1147
264	413	1146
265	413	1142
266	415	1141
267	416	1136
268	416	1131
269	418	1130
270	419	1128
271	420	1125
272	422	1124
273	423	1121
274	424	1118
275	426	1117
276	426	1113
277	427	1111
278	429	1109
279	429	1105
280	430	1102
281	431	1098
282	432	1094
283	433	1093
284	434	1089
285	435	1087
286	436	1083
287	437	1081
288	438	1077
289	439	1076
290	439	1071
291	441	1069
292	441	1065
293	442	1062
294	443	1059
295	443	1055
296	444	1051
297	444	1047
298	446	1046
299	447	1044
300	448	1040
301	448	1036
302	450	1035
303	451	1033
304	452	1030
305	452	1027
306	454	1025
307	454	1021
308	455	1017
309	455	1013
310	457	1012
311	458	1010
312	459	1007
313	459	1004
314	460	1000
315	461	998
316	461	994
317	462	992
318	463	990
319	464	986
320	465	984
321	466	983
322	468	981
323	468	978
324	470	976
325	470	972
326	471	971
327	472	967
328	473	964
329	474	963
330	474	959
331	476	957
332	477	957
333	479	955
334	479	951
335	481	950
336	481	947
337	481	944
338	483	942
339	483	939
340	485	937
341	486	936
342	488	935
343	490	935
344	490	932
345	492	930
346	492	927
347	493	924
348	494	922
349	494	919
350	496	918
351	497	915
352	497	912
353	499	911
354	499	908
355	500	905
356	501	903
357	502	900
358	503	898
359	504	896
360	505	894
361	505	891
362	506	887
363	506	884
364	507	883
365	509	882
366	511	881
367	511	878
368	512	875
369	513	874
370	514	871
371	515	870
372	516	868
373	517	865
374	518	863
375	518	860
376	520	860
377	520	857
378	522	856
379	523	853
380	524	852
381	524	849
382	525	847
383	526	844
384	526	841
385	527	839
386	528	837
387	529	834
388	530	832
389	531	830
390	532	829
391	533	827
392	535	826
393	535	823
394	536	821
395	537	819
396	538	817
397	540	816
398	540	814
399	541	811
400	542	809
401	543	808
402	544	806
403	545	805
404	546	802
405	547	800
406	548	798
407	548	796
408	549	794
409	550	791
410	551	790
411	552	787
412	552	785
413	553	783
414	554	781
415	554	779
416	556	777
417	557	775
418	557	773
419	559	772
420	559	770
421	561	769
422	561	766
423	563	765
424	564	763
425	564	760
426	565	759
427	567	758
428	568	756
429	569	754
430	570	753
431	571	750
432	571	748
433	571	745
434	573	744
435	574	743
436	575	741
437	575	738
438	576	736
439	577	734
440	578	733
441	580	732
442	580	730
443	582	729
444	583	727
445	583	725
446	584	723
447	586	722
448	587	720
449	587	718
450	588	716
451	589	715
452	590	712
453	591	710
454	591	708
455	592	706
456	593	705
457	593	702
458	595	701
459	595	699
460	596	697
461	597	695
462	599	694
463	599	692
464	600	690
465	601	689
466	603	688
467	604	687
468	606	686
469	606	684
470	607	682
471	608	680
472	610	679
473	610	677
474	611	675
475	612	673
476	613	672
477	613	670
478	614	668
479	615	666
480	616	665
481	617	663
482	617	661
483	618	659
484	619	657
485	621	657
486	621	654
487	622	652
488	623	651
489	624	650
490	626	649
491	627	647
492	628	645
493	628	643
494	630	643
495	631	641
496	632	640
497	634	639
498	634	637
499	636	636
500	636	634
501	638	633
502	638	631
503	639	629
504	641	628
505	641	626
506	642	625
507	643	622
508	644	621
509	644	619
510	645	617
511	646	616
512	647	614
513	649	614
514	650	612
515	650	610
516	651	608
517	652	606
518	652	604
519	653	602
520	654	601
521	654	599
522	655	597
523	656	596
524	656	593
525	657	592
526	658	591
527	659	589
528	660	587
529	660	585
530	662	584
531	662	582
532	663	581
533	664	580
534	666	578
535	666	577
536	668	576
537	669	574
538	670	573
539	671	572
540	671	570
541	673	568
542	674	568
543	676	566
544	677	565
545	677	563
546	679	562
547	680	560
548	680	559
549	681	557
550	682	556
551	682	554
552	683	552
553	684	550
554	686	550
555	686	548
556	687	546
557	688	545
558	690	544
559	690	542
560	691	540
561	692	539
562	693	538
563	694	537
564	696	536
565	697	534
566	699	533
567	699	531
568	701	530
569	701	529
570	702	527
571	703	526
572	704	524
573	704	522
574	705	521
575	705	519
576	706	517
577	706	516
578	708	515
579	709	513
580	710	512
581	710	510
582	711	508
583	711	507
584	713	506
585	713	504
586	714	502
587	715	501
588	715	499
589	717	498
590	718	496
591	718	495
592	719	493
593	719	492
594	721	491
595	722	489
596	723	488
597	723	486
598	725	485
599	726	484
600	727	482
601	728	481
602	728	479
603	728	477
604	729	476
605	730	474
606	732	473
607	732	472
608	733	471
609	735	470
610	736	469
611	737	467
612	738	466
613	739	464
614	740	463
615	741	462
616	742	460
617	743	459
618	744	458
619	745	456
620	746	455
621	747	453
622	748	452
623	748	451
624	749	449
625	750	448
626	751	446
627	752	445
628	753	444
629	754	443
630	755	441
631	755	439
632	756	438
633	757	437
634	757	435
635	759	434
636	760	433
637	761	431
638	761	430
639	762	428
640	763	427
641	763	425
642	764	424
643	765	423
644	766	421
645	767	420
646	767	418
647	768	417
648	768	415
649	769	414
650	770	413
651	771	411
652	772	410
653	773	409
654	774	408
655	775	406
656	776	405
657	777	404
658	778	403
659	779	401
660	780	400
661	781	399
662	782	397
663	783	396
664	784	395
665	784	393
666	785	392
667	787	391
668	788	389
669	789	388
670	790	387
671	790	385
672	792	384
673	792	383
674	792	381
675	794	380
676	794	379
677	796	378
678	796	376
679	798	375
680	799	374
681	800	373
682	801	371
683	802	370
684	803	369
685	804	368
686	805	367
687	807	366
688	807	364
689	809	363
690	810	362
691	811	361
692	811	359
693	812	358
694	813	356
695	814	355
696	815	354
697	817	353
698	817	352
699	818	350
700	820	349
701	821	348
702	823	347
703	824	346
704	825	345
705	825	343
706	827	342
707	828	341
708	829	340
709	830	339
710	830	337
711	832	336
712	833	335
713	834	334
714	835	332
715	836	331
716	837	330
717	838	329
718	839	328
719	840	326
720	840	325
721	841	324
722	841	322
723	842	321
724	843	319
725	844	318
726	845	317
727	846	316
728	847	314
729	848	313
730	849	312
731	850	311
732	851	310
733	853	309
734	853	307
735	855	306
736	855	305
737	856	304
738	858	303
739	858	301
740	859	300
741	861	299
742	862	298
743	863	296
744	864	295
745	865	294
746	865	293
747	867	292
748	867	290
749	868	289
750	868	288
751	869	286
752	870	285
753	871	284
754	872	283
755	873	281
756	874	280
757	875	279
758	876	278
759	877	277
760	878	275
761	879	274
762	880	273
763	880	271
764	881	270
765	883	269
766	883	268
767	885	267
768	885	266
769	887	265
770	887	263
771	889	262
772	890	261
773	891	260
774	892	259
775	894	258
776	894	256
777	895	255
778	896	254
779	896	252
780	897	251
781	898	250
782	899	249
783	900	248
784	901	246
785	902	245
786	903	244
787	904	243
788	904	242
789	906	240
790	906	239
791	907	238
792	909	237
793	909	236
794	911	234
795	912	233
796	913	232
797	915	231
798	916	230
799	917	229
800	919	228
801	920	227
802	920	225
803	921	224
804	922	223
805	923	222
806	923	220
807	924	219
808	925	218
809	926	217
810	928	216
811	929	215
812	930	214
813	931	212
814	932	211
815	933	210
816	934	209
817	935	208
818	936	206
819	937	205
820	938	204
821	939	203
822	940	202
823	941	201
824	942	199
825	943	198
826	944	197
827	945	196
828	946	195
829	947	194
830	948	192
831	949	191
832	950	190
833	951	189
834	953	188
835	954	187
836	955	186
837	956	185
838	957	183
839	958	182
840	959	181
841	959	180
842	961	179
843	961	177
844	962	176
845	964	175
846	964	174
847	965	173
848	966	171
849	967	170
850	969	169
851	969	168
852	970	167
853	970	165
854	972	164
855	972	163
856	973	162
857	974	161
858	976	160
859	977	159
860	977	157
861	978	156
862	979	155
863	980	154
864	982	153
865	983	152
866	983	150
867	984	149
868	985	148
869	986	147
870	987	146
871	989	145
872	989	143
873	991	142
874	992	141
875	993	140
876	993	139
877	994	138
878	995	137
879	996	135
880	996	134
881	998	133
882	998	132
883	999	131
884	1000	129
885	1001	128
886	1002	127
887	1002	126
888	1003	125
889	1004	124
890	1006	123
891	1007	121
892	1008	120
893	1009	119
894	1010	118
895	1012	117
896	1013	116
897	1013	115
898	1014	114
899	1015	112
900	1016	111
901	1016	110
902	1017	109
903	1019	108
904	1020	107
905	1021	105
906	1022	104
907	1023	103
908	1023	102
909	1024	101
910	1026	100
911	1026	99
912	1027	97
913	1027	96
914	1028	95
915	1028	94
916	1029	93
917	1030	92
918	1031	90
919	1031	89
920	1032	88
921	1034	87
922	1035	86
923	1035	85
924	1037	84
925	1037	82
926	1039	81
927	1039	80
928	1041	79
929	1042	78
930	1043	77
931	1044	76
932	1045	75
933	1046	73
934	1046	72
935	1047	71
936	1048	70
937	1049	69
938	1049	68
939	1050	67
940	1051	65
941	1052	64
942	1053	63
943	1053	62
944	1055	61
945	1056	60
946	1058	59
947	1059	58
948	1060	57
949	1061	55
950	1063	54
951	1063	53
952	1064	52
953	1065	51
954	1066	50
955	1067	49
956	1069	48
957	1069	46
958	1071	45
959	1071	44
960	1071	43
961	1072	42
962	1073	41
963	1075	40
964	1076	39
965	1077	37
966	1077	36
967	1078	35
968	1079	34
969	1080	33
970	1082	32
971	1082	31
972	1084	30
973	1085	28
974	1085	27
975	1087	26
976	1087	25
977	1089	24
978	1089	23
979	1090	22
980	1092	21
981	1093	20
982	1093	18
983	1095	17
984	1096	16
985	1097	15
986	1097	14
987	1099	13
988	1100	12
989	1100	11
990	1101	10
991	1102	8
992	1103	7
993	1104	6
994	1105	5
995	1107	4
996	1108	3
997	1109	2
998	1110	1
999	1111	0
