[2020-05-15 18:26:06,319]: ---mrmd 2.0 start----
[2020-05-15 18:28:15,319]: ANOVA start...
[2020-05-15 18:28:15,728]: ANOVA  end.
[2020-05-15 18:28:15,735]: mic start...
[2020-05-15 18:28:19,197]: mic  end.
[2020-05-15 18:28:19,207]: mrmd start...
[2020-05-15 18:28:20,458]: mrmd end.
[2020-05-15 18:28:20,459]: mRMR start...
[2020-05-15 18:28:24,465]: mRMR end.
[2020-05-15 18:28:24,466]: linear model start...
[2020-05-15 18:28:25,071]: linear model end.
[2020-05-15 18:28:25,087]: chi2 start...
[2020-05-15 18:28:25,486]: chi2 end.
[2020-05-15 18:28:25,498]: tree feature importance start...
[2020-05-15 18:28:28,515]: tree feature importance  end.
[2020-05-15 18:28:28,531]: F_value start...
[2020-05-15 18:28:28,969]: F_value  end.
[2020-05-15 18:28:28,976]: ref start...
[2020-05-15 18:30:23,762]: ref end.
[2020-05-15 18:30:24,261]: The final  rank is
[2020-05-15 18:30:24,262]: Pos11.ZSCALE1 : 0.02458695577733717
[2020-05-15 18:30:24,262]: Pos7.ZSCALE1 : 0.023746740233164466
[2020-05-15 18:30:24,262]: Pos8.ZSCALE5 : 0.02292376822159984
[2020-05-15 18:30:24,262]: Pos11.ZSCALE3 : 0.02248937215918168
[2020-05-15 18:30:24,263]: Pos8.ZSCALE1 : 0.022212381277173225
[2020-05-15 18:30:24,263]: Pos2.ZSCALE1 : 0.022105503453022375
[2020-05-15 18:30:24,263]: Pos3.ZSCALE1 : 0.02177481620186491
[2020-05-15 18:30:24,263]: Pos9.ZSCALE5 : 0.021325454496054448
[2020-05-15 18:30:24,264]: Pos9.ZSCALE2 : 0.021227218245761594
[2020-05-15 18:30:24,264]: Pos3.ZSCALE2 : 0.02114151673784701
[2020-05-15 18:30:24,264]: Pos9.ZSCALE4 : 0.021027436592497246
[2020-05-15 18:30:24,264]: Pos1.ZSCALE4 : 0.021025032490117515
[2020-05-15 18:30:24,264]: Pos4.ZSCALE3 : 0.020860477064178935
[2020-05-15 18:30:24,265]: Pos10.ZSCALE3 : 0.020832529226918896
[2020-05-15 18:30:24,265]: Pos10.ZSCALE5 : 0.02079669775137723
[2020-05-15 18:30:24,265]: Pos3.ZSCALE3 : 0.02078621937907581
[2020-05-15 18:30:24,265]: Pos7.ZSCALE4 : 0.020759098242811136
[2020-05-15 18:30:24,265]: Pos7.ZSCALE3 : 0.020725696905245825
[2020-05-15 18:30:24,266]: Pos5.ZSCALE1 : 0.020596596663123485
[2020-05-15 18:30:24,266]: Pos8.ZSCALE3 : 0.020464817416359138
[2020-05-15 18:30:24,266]: Pos2.ZSCALE2 : 0.020460920725472995
[2020-05-15 18:30:24,266]: Pos3.ZSCALE4 : 0.020369325997074396
[2020-05-15 18:30:24,266]: Pos5.ZSCALE3 : 0.019802047727616137
[2020-05-15 18:30:24,267]: Pos10.ZSCALE1 : 0.019773816066933472
[2020-05-15 18:30:24,267]: Pos8.ZSCALE2 : 0.019718637252937408
[2020-05-15 18:30:24,267]: Pos5.ZSCALE5 : 0.019661174878994898
[2020-05-15 18:30:24,267]: Pos2.ZSCALE4 : 0.019622547040978197
[2020-05-15 18:30:24,267]: Pos9.ZSCALE1 : 0.019514073576258395
[2020-05-15 18:30:24,268]: Pos3.ZSCALE5 : 0.019482829740539113
[2020-05-15 18:30:24,268]: Pos8.ZSCALE4 : 0.019480808134977615
[2020-05-15 18:30:24,268]: Pos4.ZSCALE4 : 0.019475650376387686
[2020-05-15 18:30:24,268]: Pos11.ZSCALE4 : 0.019230140405373596
[2020-05-15 18:30:24,268]: Pos10.ZSCALE2 : 0.019158561227012885
[2020-05-15 18:30:24,269]: Pos11.ZSCALE5 : 0.019121294717685818
[2020-05-15 18:30:24,269]: Pos4.ZSCALE1 : 0.01911456895061625
[2020-05-15 18:30:24,269]: Pos11.ZSCALE2 : 0.01892959205039473
[2020-05-15 18:30:24,269]: Pos5.ZSCALE4 : 0.018907172610510253
[2020-05-15 18:30:24,270]: Pos1.ZSCALE5 : 0.018893257509733967
[2020-05-15 18:30:24,270]: Pos7.ZSCALE5 : 0.018686377321746057
[2020-05-15 18:30:24,270]: Pos2.ZSCALE3 : 0.01865940230182567
[2020-05-15 18:30:24,270]: Pos10.ZSCALE4 : 0.018539226606725814
[2020-05-15 18:30:24,270]: Pos7.ZSCALE2 : 0.01831794102350761
[2020-05-15 18:30:24,271]: Pos1.ZSCALE1 : 0.018138448628189193
[2020-05-15 18:30:24,271]: Pos4.ZSCALE2 : 0.018122414597506735
[2020-05-15 18:30:24,271]: Pos1.ZSCALE3 : 0.01727392384896785
[2020-05-15 18:30:24,271]: Pos4.ZSCALE5 : 0.017218272096320864
[2020-05-15 18:30:24,271]: Pos2.ZSCALE5 : 0.01702812294141781
[2020-05-15 18:30:24,287]: Pos1.ZSCALE2 : 0.01643212423233781
[2020-05-15 18:30:24,287]: Pos9.ZSCALE3 : 0.016247902160056425
[2020-05-15 18:30:24,287]: Pos5.ZSCALE2 : 0.013983973546065042
[2020-05-15 18:30:24,288]: Pos6.ZSCALE2 : 0.009227123171123185
